menu
id,	restaurant_id,	name,	type,	price
76,	0,	Lobster and Shrimp Alfredo,	PASTA,	24000
77,	1,	Caprese Pizza,	PIZZA,	19000
78,	2,	Chicken Caesar Pita Wrap,	SALAD,	16000
79,	3,	Pesto Chicken Penne,	PASTA,	22000
80,	0,	Veggie Alfredo Pizza,	PIZZA,	20000
81,	1,	Tomato Basil Linguine,	PASTA,	21000
82,	2,	Mediterranean Pizza,	PIZZA,	18000
83,	3,	Chicken Alfredo Gnocchi,	PASTA,	23000
84,	0,	Spinach and Artichoke Flatbread,	PIZZA,	17000
85,	1,	Creamy Pesto Tortellini,	PASTA,	24000
86,	2,	Cajun Chicken Salad,	SALAD,	15000
87,	3,	Margherita Calzone,	PIZZA,	18000
88,	0,	Chicken Marsala Pasta,	PASTA,	22000
89,	1,	Southwest BBQ Chicken Salad,	SALAD,	16000
90,	2,	Veggie Supreme Pizza,	PIZZA,	20000
91,	3,	Lemon Garlic Penne,	PASTA,	21000
92,	0,	Prosciutto and Arugula Pizza,	PIZZA,	19000
93,	1,	Cajun Shrimp Pasta,	PASTA,	23000
94,	2,	Quinoa and Kale Salad,	SALAD,	14000
95,	3,	Pesto Chicken Flatbread,	PIZZA,	18000
96,	0,	Margherita Gnocchi,	PASTA,	20000
97,	1,	BLT Salad Wrap,	SALAD,	15000
